original,second_part,noun_forms,lemma,genus,compound_forms,related_words,hypernyms,definition,roots,en_hypernyms,concept,path,wup,stem_cistem,stem_porter,stem_lancaster,stem_snowball,share_cistem,share_porter,share_lancaster,share_snowball,dist_stemmer,similar_words
klimakreationismus,kreationismus,['kreationismus'],kreationismus,m,['klimakreationismus'],[],[],[],[],,,[],[],kreationismu,kreationismu,kreationism,kreationismus,,,,,,[]
klimakreuzzug,kreuzzug,"['kreuzzuges', 'kreuzzugs', 'kreuzzuge', 'kreuzzüge', 'kreuzzügen', 'kreuzzug']",kreuzzug,m,"['klimakreuzzuges', 'klimakreuzzugs', 'klimakreuzzuge', 'klimakreuzzüge', 'klimakreuzzügen', 'klimakreuzzug']","['Kampf', 'Propagandafeldzug', 'Kreuzzug', 'Feldzug', 'Kampagne']","['Risiko auf sich nehmen', 'etwas riskieren', 'Risiko eingehen', 'sich wagen', 'sich trauen', 'sich aus dem Fenster lehnen', 'es darauf ankommen lassen', 'es wissen wollen', 'mutig sein', 'Risiken eingehen', 'mit dem Feuer spielen', 'Schicksal herausfordern', 'auf schmalem Grat wandern', 'ganz schön mutig sein', 'sich auf dünnem Eis bewegen', 'es auf einen Versuch ankommen lassen']",['ein Box- oder Wrestlingkampf'],"['arbeiten', 'schaffen', 'sich betätigen', 'tätig sein', 'wirken', 'werken']","['pugilism', 'boxing', 'fisticuffs', 'contact sport', 'athletics', 'sport', 'recreation', 'diversion', 'activity', 'human action', 'human activity', 'deed', 'act', 'event', 'abstraction', 'abstract entity', 'entity']",action,[],[],kreuzzug,kreuzzug,kreuzzug,kreuzzug,,,,,,[]
klimakrieg,krieg,"['krieges', 'kriegen', 'kriegs', 'krieg', 'kriege']",krieg,m,"['klimakrieges', 'klimakriegen', 'klimakriegs', 'klimakrieg', 'klimakriege']","['Kampfhandlungen', 'kriegerische Auseinandersetzung', 'militärische Auseinandersetzung', 'kriegsähnliche Zustände', 'militärische Option', 'Feldzug', 'bewaffnete Auseinandersetzung', 'die Fortsetzung der Politik mit anderen Mitteln', 'militärisch ausgetragener Konflikt', 'Orlog', 'Waffengang', 'bewaffneter Konflikt', 'Krieg']","['Auseinandersetzung', 'Fehde', 'Kontroverse', 'Konflikt', 'Streit']","['Aktive Auseinandersetzung zwischen mindestens zwei Parteien wie Staaten, ethnischen oder sozialen Gruppen']","['Spektakel', 'Event', 'Hypeevent', 'Großereignis', 'Spektakulum', 'Hype-Event', 'besonderes Ereignis', 'Verständigung', 'Austausch', 'Kommunikation']","['action', 'military action', 'group action', 'action', 'human action', 'human activity', 'deed', 'act', 'event', 'abstraction', 'abstract entity', 'entity']",action,[],"['kontroverse', 'show']",krieg,krieg,krieg,krieg,"['krieg', 'krieger']",,"['krieg', 'krieger']","['krieg', 'krieger']","['krieg', 'krieger']","['kontroverse', 'show', 'krieg', 'krieger', 'krieg', 'krieger', 'krieg', 'krieger']"
klimakrieger,krieger,"['kriegern', 'krieger', 'kriegers']",krieger,m,"['klimakriegern', 'klimakrieger', 'klimakriegers']","['Kämpfer', 'Kämpe', 'Streiter', 'Ritter', 'Soldat', 'Krieger', 'Recke']",[],"['ein Streitender, der sich streitet', 'ursprünglich eine Person von adliger Geburt, die zu Waffen und Rittertum ausgebildet wurde; heute in Großbritannien eine Person, die vom Herrscher für persönliche Verdienste geehrt wird']",[],"['disputant', 'eristic', 'controversialist', 'soul', 'person', 'someone', 'mortal', 'individual', 'somebody', 'being', 'organism', 'animate thing', 'living thing', 'unit', 'whole', 'physical object', 'object', 'physical entity', 'entity', 'disputant', 'eristic', 'controversialist', 'soul', 'person', 'someone', 'mortal', 'individual', 'somebody', 'being', 'organism', 'cause', 'causal agent', 'causal agency', 'physical entity', 'entity']",person,['streiter'],['streiter'],krieg,krieger,krieg,krieg,"['krieg', 'krieger']",,"['krieg', 'krieger']","['krieg', 'krieger']","['krieger', 'krieg']","['streiter', 'krieg', 'krieger', 'krieg', 'krieger', 'krieger', 'krieg']"
klimakritik,kritik,"['kritik', 'kritiken']",kritik,f,"['klimakritik', 'klimakritiken']","['Rezension', 'Einschätzung', 'Besprechung', 'Kritik', 'Bemängelung', 'kritische Würdigung', 'Durchsicht', 'Beanstandung', 'Beurteilung', 'Urteil']",[],"['das endgültige Urteil in einem Gerichtsverfahren; der Akt der Urteilsverkündung auf der Grundlage der vorgelegten Beweise', 'eine ernsthafte Prüfung und Beurteilung einer Sache']",[],"['judgement', 'assessment', 'judgment', 'human action', 'human activity', 'deed', 'act', 'event', 'abstraction', 'abstract entity', 'entity']",action,[],[],kritik,kritik,kritik,kritik,"['kritik', 'kritiker']","['kritik', 'kritiker']","['kritik', 'kritiker']","['kritik', 'kritiker']",,"['kritik', 'kritiker', 'kritik', 'kritiker', 'kritik', 'kritiker']"
klimakritiker,kritiker,"['kritikern', 'kritikers', 'kritiker']",kritiker,m,"['klimakritikern', 'klimakritikers', 'klimakritiker']","['Zensor', 'Kritiker', 'Rezensent', 'Bewerter', 'Begutachter', 'Beurteiler', 'Besprecher', 'Zensurenverteiler']",[],"['eine Autorität, die in der Lage ist, den Wert oder die Qualität zu beurteilen']",[],"['authority', 'expert', 'soul', 'person', 'someone', 'mortal', 'individual', 'somebody', 'being', 'organism', 'animate thing', 'living thing', 'unit', 'whole', 'physical object', 'object', 'physical entity', 'entity', 'authority', 'expert', 'soul', 'person', 'someone', 'mortal', 'individual', 'somebody', 'being', 'organism', 'cause', 'causal agent', 'causal agency', 'physical entity', 'entity']",person,[],[],kritik,kritik,kritik,kritik,"['kritik', 'kritiker']","['kritik', 'kritiker']","['kritik', 'kritiker']","['kritik', 'kritiker']",,"['kritik', 'kritiker', 'kritik', 'kritiker', 'kritik', 'kritiker']"
klimakult,kult,"['kulten', 'kults', 'kult', 'kulte', 'kultes']",kult,m,"['klimakulten', 'klimakults', 'klimakult', 'klimakulte', 'klimakultes']","['Anbetung', 'Kultus', 'Vergötterung', '(übertriebene) Verehrung', 'Kult']","['leiden mögen', 'für etwas übrig haben', 'ins Herz geschlossen haben', 'eingenommen sein', 'in sein Herz geschlossen haben', 'sein Herz gehängt haben', 'lieb gewonnen haben', 'lieben', 'vergöttern', 'Schwäche haben für', 'einen Narren gefressen haben', 'gut leiden können', 'Ein und Alles sein', 'lieb haben', 'gut ausstehen können', 'mit jemandem können', 'gefallen', 'ans Herz gewachsen', 'Gefallen finden an', 'liebgewonnen haben', 'sich hingezogen fühlen zu', 'ins Herz schließen', 'verliebt sein', 'mögen', 'mit jemandem gut können', 'gernhaben', 'liebhaben', 'sympathisch finden', 'auf jemanden stehen', 'gewogen sein']","['ein Interesse, das mit übertriebenem Eifer verfolgt wird', 'der Akt der Bewunderung']","['mögen', 'Gefallen finden an', 'einen Narren gefressen haben', 'vergöttern', 'sympathisch finden', 'lieb haben', 'mit jemandem gut können', 'liebgewonnen haben', 'in sein Herz geschlossen haben', 'ins Herz schließen', 'lieb gewonnen haben', 'für etwas übrig haben', 'ans Herz gewachsen', 'leiden mögen', 'liebhaben', 'gut leiden können', 'mit jemandem können', 'gut ausstehen können', 'gernhaben', 'gewogen sein', 'gefallen', 'auf jemanden stehen', 'Ein und Alles sein', 'Schwäche haben für', 'eingenommen sein', 'verliebt sein', 'sich hingezogen fühlen zu', 'lieben', 'ins Herz geschlossen haben', 'sein Herz gehängt haben']","['fashion', 'style', 'trend', 'vogue', 'perceptiveness', 'taste', 'discernment', 'appreciation', 'discrimination', 'secernment', 'basic cognitive process', 'operation', 'process', 'cognitive operation', 'cognitive process', 'mental process', 'noesis', 'cognition', 'knowledge', 'psychological feature', 'abstraction', 'abstract entity', 'entity']",action,[],[],kul,kult,kult,kult,,,,,,[]
klimakäse,käse,"['käses', 'käse', 'käsen']",käse,m,"['klimakäses', 'klimakäse', 'klimakäsen']","['Bullshit', 'Heckmeck', 'Blödsinn', 'Schmarren', 'Gelaber', 'Kohl', 'Quark', 'Schmonzes', 'Käse', 'Krampf', 'Schmu', 'Quatsch mit Soße', 'Blech', 'Mumpitz', 'Sottise', 'Stuss', 'geistiger Dünnschiss', 'Scheiße', 'Unfug', 'Pipifax', 'Schmarrn', 'Gefasel', 'Kokolores', 'dümmliches Gerede', 'Nonsense', 'Kappes', 'geistiger Durchfall', 'Geschwafel', 'Schwachsinn', 'Schwachfug', 'gequirlte Scheiße', 'Kiki', 'Schmäh', 'Gewäsch', 'Driss', 'Firlefanz', 'Widersinn', 'Humbug', 'Tinnef', 'Bockmist', 'Fez', 'dummes Zeug', 'saudummes Zeug', 'Pillepalle', 'Mist', 'Scheiß', 'Papperlapapp', 'Unsinn', 'Nonsens', 'Quatsch']","['Gelaber', 'leere Worte', 'Geschwalle', 'Luftblasen', 'leeres Gerede', 'Geblubber', 'langweilige Rede', 'warme Worte', 'Geschwätz', 'hohle Phrasen', 'Gefasel', 'Schein-Tiefsinn', 'Geschwafel', 'Schmus', 'Sermon', 'Gewäsch', 'Geplänkel', 'dummes Zeug', 'Geseire', 'Blabla', 'Gerede', 'Geschwurbel', 'Gemunkel']",['unsinniges Gerede oder Schreiben'],"['Tiefe', 'Tiefsinn']","['garbage', 'drivel', 'content', 'substance', 'subject matter', 'message', 'communication', 'abstraction', 'abstract entity', 'entity']",action,"['blödsinn', 'quatsch', 'unfug', 'unsinn']","['blödsinn', 'gefasel', 'quatsch', 'unfug', 'unsinn']",kas,käse,käse,kas,,,,,,"['blödsinn', 'gefasel', 'quatsch', 'unfug', 'unsinn']"
klimakönigin,königin,"['königinnen', 'königin']",königin,f,"['klimaköniginnen', 'klimakönigin']","['Dame', 'Monarchin', 'Queen', 'Königin']",[],"['die Frau oder Witwe eines Königs', 'eine weibliche souveräne Herrscherin']",[],"['female aristocrat', 'blue blood', 'patrician', 'aristocrat', 'leader', 'soul', 'person', 'someone', 'mortal', 'individual', 'somebody', 'being', 'organism', 'animate thing', 'living thing', 'unit', 'whole', 'physical object', 'object', 'physical entity', 'entity', 'female aristocrat', 'blue blood', 'patrician', 'aristocrat', 'leader', 'soul', 'person', 'someone', 'mortal', 'individual', 'somebody', 'being', 'organism', 'cause', 'causal agent', 'causal agency', 'physical entity', 'entity']",person,[],[],konigi,königin,königin,konigin,,,,,,[]
klimalaie,laie,"['laie', 'laien']",laie,m,"['klimalaie', 'klimalaien']","['Murkser', 'Pfuscher', 'Laie', 'Dilettant', 'Amateur', 'Praktikant', 'hat keine Ahnung', 'Nichtfachmann', 'Stümper', 'nicht vom Fach', 'Anfänger']",[],"['Jemand, der in einem Gebiet nicht gut ausgebildet ist.']",[],"['incompetent', 'incompetent person', 'unskilled person', 'soul', 'person', 'someone', 'mortal', 'individual', 'somebody', 'being', 'organism', 'animate thing', 'living thing', 'unit', 'whole', 'physical object', 'object', 'physical entity', 'entity', 'incompetent', 'incompetent person', 'unskilled person', 'soul', 'person', 'someone', 'mortal', 'individual', 'somebody', 'being', 'organism', 'cause', 'causal agent', 'causal agency', 'physical entity', 'entity']",person,[],[],laie,laie,lai,laie,,,,,,[]
klimaleidenschaftlichkeit,leidenschaftlichkeit,"['leidenschaftlichkeiten', 'leidenschaftlichkeit']",leidenschaftlichkeit,f,"['klimaleidenschaftlichkeiten', 'klimaleidenschaftlichkeit']","['Leidenschaft', 'Tatkraft', 'Feuer', 'Herzblut', 'Leidenschaftlichkeit', 'innere Kraft', 'Eifer', 'Stärke', 'Energie', 'Passion', 'Heftigkeit', 'Dynamik', 'Verve', 'Energeia']","['Inzentiv', 'Ansporn', 'Anregung', 'Aufhänger', 'Antrieb', 'Stimulus', 'Reiz', 'Anreiz', 'Motivierung', 'Motivation']",['psychischer Antrieb'],"['Antrieb', 'Reiz', 'Motivation', 'Anregung', 'Anreiz', 'Ansporn', 'Inzentiv', 'Motivierung', 'Stimulus', 'Aufhänger']",[],,[],[],leidenschaftlichkei,leidenschaftlichkeit,leidenschaftlichkeit,leidenschaft,,,,,,[]
klimaleugner,leugner,"['leugners', 'leugner', 'leugnern']",leugner,m,"['klimaleugners', 'klimaleugner', 'klimaleugnern']",[],[],[],[],,,[],[],leug,leugner,leugn,leugn,,,,,"['leugner', 'leugnung']","['leugner', 'leugnung']"
klimaleugnung,leugnung,"['leugnungen', 'leugnung']",leugnung,f,"['klimaleugnungen', 'klimaleugnung']",[],[],[],[],,,[],[],leugnung,leugnung,leugnung,leugnung,,,,,"['leugnung', 'leugner']","['leugnung', 'leugner']"
klimalobby,lobby,"['lobbys', 'lobby']",lobby,f,"['klimalobbys', 'klimalobby']","['Vestibül', 'Lobby', 'Vorraum', 'Interessengruppe', 'Vorhalle', 'Interessenvertretung', 'Interessensvertretung', 'Lounge', 'Spezis', 'Empfangshalle', 'Union', 'Eingangshalle', 'Interessengemeinschaft', 'Interessenorganisation', 'Interessensgruppe', 'Interessenverband', 'Verband', 'Pressure-Group', 'Wandelhalle', 'Verbindung', 'Foyer']","['Händelstadt', 'Gesellschaft', 'Gruppe', 'Körperschaft', 'Halle']","['Gruppe von Personen, die versuchen, aktiv Einfluss auf die Gesetzgebung zu nehmen', 'ein großer Eingangs- oder Empfangsraum oder -bereich']","['Gruppe', 'Gesellschaft', 'Körperschaft', 'Halle', 'Händelstadt']","['political entity', 'political unit', 'unit', 'social unit', 'organization', 'organisation', 'social group', 'grouping', 'group', 'abstraction', 'abstract entity', 'entity', 'interest', 'interest group', 'social group', 'grouping', 'group', 'abstraction', 'abstract entity', 'entity']",action,[],[],lobby,lobbi,lobby,lobby,,,,,,[]
klimalösegeld,lösegeld,"['lösegelder', 'lösegeldern', 'lösegeld', 'lösegelds', 'lösegeldes', 'lösegelde']",lösegeld,n,"['klimalösegelder', 'klimalösegeldern', 'klimalösegeld', 'klimalösegelds', 'klimalösegeldes', 'klimalösegelde']",[],[],[],[],,,[],[],losegeld,lösegeld,lösegeld,losegeld,,,,,,[]
klimalüge,lüge,"['lüge', 'lügen']",lüge,f,"['klimalüge', 'klimalügen']","['Unwahrheit', 'Lüge', 'Schutzbehauptung', 'Falschaussage']",[],['eine falsche Aussage'],[],"['statement', 'content', 'substance', 'subject matter', 'message', 'communication', 'abstraction', 'abstract entity', 'entity']",action,[],['erzählung'],lug,lüge,lüge,lug,"['lüge', 'lügner']",,,,"['lüge', 'leugner']","['erzählung', 'lüge', 'lügner', 'lüge', 'leugner']"
klimalügner,lügner,"['lügner', 'lügners', 'lügnern']",lügner,m,"['klimalügner', 'klimalügners', 'klimalügnern']","['Lügner', 'Schwindler', 'Flunkerer', 'Lügenmaul', 'Lügenbold']","['Schnute', 'Gosche', 'Gusche', 'Fresse', 'Klappe', 'Pappen', 'Schnauze', 'Mund', 'Gosch', 'Maul', 'Omme']","['jemand, der Lügen erzählt']","['Fresse', 'Omme', 'Schnute', 'Mund', 'Gosch', 'Maul', 'Schnauze', 'Klappe', 'Pappen', 'Gosche', 'Gusche']","['prevaricator', 'liar', 'slicker', 'cheat', 'trickster', 'deceiver', 'cheater', 'beguiler', 'offender', 'wrongdoer', 'bad person', 'soul', 'person', 'someone', 'mortal', 'individual', 'somebody', 'being', 'organism', 'animate thing', 'living thing', 'unit', 'whole', 'physical object', 'object', 'physical entity', 'entity', 'prevaricator', 'liar', 'slicker', 'cheat', 'trickster', 'deceiver', 'cheater', 'beguiler', 'offender', 'wrongdoer', 'bad person', 'soul', 'person', 'someone', 'mortal', 'individual', 'somebody', 'being', 'organism', 'cause', 'causal agent', 'causal agency', 'physical entity', 'entity']",person,[],[],lug,lügner,lügner,lugn,"['lüge', 'lügner']",,,,"['lügner', 'leugner']","['lüge', 'lügner', 'lügner', 'leugner']"
klimamacher,macher,"['macher', 'machern', 'machers']",macher,m,"['klimamacher', 'klimamachern', 'klimamachers']","['Hauptmatador', 'Verantwortlicher', 'Initiant', 'Urheber', 'Aktivling', 'Nimmermüde', 'Verursacher', 'Auslöser', 'Initiator', '...gestalter', '...macher', 'Macher', 'Gestalter', 'Machertyp', 'Tatmensch', 'Mann der Tat', 'immer am Ball']","['Großkopferter', '(Teil der) Nomenklatura', 'maßgeblicher Entscheider', 'hochgestellte Persönlichkeit', 'Führungspersönlichkeit']","['jede Einheit, die eine Wirkung hervorruft oder für Ereignisse oder Ergebnisse verantwortlich ist', 'eine Person, die handelt und Dinge erledigt']","['jemand', 'irgendjemand', 'jeder beliebige']","['physical entity', 'entity']",person,[],"['aktivist', 'demagoge', 'milliardär']",mach,macher,mach,mach,,,,,,"['aktivist', 'demagoge', 'milliardär']"
klimamafia,mafia,"['mafias', 'mafia']",mafia,f,"['klimamafias', 'klimamafia']","['Verbrecherbande', ""'Ndrangheta"", 'Syndikat', 'Verbrecherorganisation', 'Mafia', 'Gang', 'Gaunerbande', 'Cosa Nostra', 'kriminelle Organisation', 'Camorra', 'kriminelle Vereinigung', 'Bande', 'ehrenwerte Gesellschaft']","['Freundeskreis', 'Combo', 'organisierte Kriminalität', 'Clique', 'organisiertes Verbrechen', 'Blase', 'Bande']","['ein Verbrechersyndikat in den Vereinigten Staaten; in Familien organisiert; es wird angenommen, dass es wichtige Beziehungen zur sizilianischen Mafia hat', 'Kriminelle Gruppe.']","['organisiertes Verbrechen', 'organisierte Kriminalität', 'Gruppe', 'Kollektiv', 'Team']","['family', 'crime syndicate', 'mob', 'syndicate', 'gangland', 'gangdom', 'organized crime', 'social group', 'grouping', 'group', 'abstraction', 'abstract entity', 'entity']",action,[],[],mafia,mafia,maf,mafia,,,,,,[]
klimamahnwache,mahnwache,"['mahnwache', 'mahnwachen']",mahnwache,f,"['klimamahnwache', 'klimamahnwachen']",[],[],[],[],,,[],[],mahnwach,mahnwach,mahnwach,mahnwach,,,,,,[]
klimamanipulation,manipulation,"['manipulationen', 'manipulation']",manipulation,f,"['klimamanipulationen', 'klimamanipulation']","['Abzocke', 'Fraud', 'Betrug', 'Gehirnwäsche', 'Nepp', 'Manipulierung', 'Gaukelei', 'Verarschung', 'Vernebelung der Gehirne', 'Hetze', 'Verfälschung', 'Schwindel', 'Schmu', 'Agitation', 'Sabotage', 'Programmierung', 'Finte', 'Volksverdummung', 'Gaunerei', 'krumme Tour', 'Suggestion', 'Zugriff', 'Irreführung', 'Bauernfängerei', 'Propaganda', 'Verschleierung', 'Täuschung', 'Schummelei', 'Verbrämung', 'Beeinflussung', 'Konditionierung', 'Manipulation', 'Veräppelung', 'Trickserei', 'List', 'Operation', 'Bluff', 'Vorspiegelung falscher Tatsachen', 'Einflüstern', 'Sabotierung', 'Verarsche', 'Rosstäuscherei', 'Verarscherei', 'Nahelegung', 'Beschmu']","['Höllenpein', 'Rückwirkung', 'fauler Zauber', 'Misshandlung', 'Quälerei', 'Konsequenz', 'Fazit', 'Gaukelspiel', 'Blendwerk', 'Marter', 'blauer Dunst', 'Einfluss', 'Folterung', 'Ergebnis', 'Resultat', 'Reaktion', 'Folter', 'Wirkung', 'Endergebnis', 'Höllenqual', 'Effekt', 'Folgeerscheinung', 'Hervorbringung', 'Nachwirkung', 'Pein', 'Herbeiführung', 'Beeinflussung', 'Auswirkung', 'Befund', 'Tortur', 'Feststellung', 'Folge', 'Quintessenz', 'Drangsal', 'Ausgang', 'Ausfluss', 'Peinigung']","['der Akt der Täuschung', 'die heimliche oder unsachgemäße Veränderung von etwas', 'die Vermischung mit Fremdstoffen; das Produkt der Verfälschung', 'geschickte oder hinterhältige Einflussnahme, insbesondere zum eigenen Vorteil', 'eine irreführende Unwahrheit', 'der Akt der Herbeiführung von Hypnose', '(Informatik) Datenverarbeitung, bei der das Ergebnis durch eine Regel vollständig spezifiziert ist (insbesondere die Verarbeitung, die sich aus einer einzigen Anweisung ergibt)', 'die Berührung mit den Händen (oder der geschickte Einsatz der Hände) oder durch den Einsatz mechanischer Mittel']","['Tortur', 'Quälerei', 'Pein', 'Misshandlung', 'Folterung', 'Peinigung', 'Marter', 'Drangsal', 'Höllenpein', 'Folter', 'Höllenqual', 'Ergebnis', 'Ausgang', 'Wirkung', 'Auswirkung', 'Effekt', 'Folgeerscheinung', 'Konsequenz', 'Ausfluss', 'Folge', 'Nachwirkung', 'Einfluss', 'Reaktion', 'Rückwirkung', 'Hervorbringung', 'Beeinflussung', 'Endergebnis', 'Fazit', 'Resultat', 'Quintessenz', 'Feststellung', 'Befund', 'Herbeiführung', 'blauer Dunst', 'Gaukelspiel', 'Blendwerk', 'fauler Zauber']","['falsification', 'misrepresentation', 'wrongdoing', 'misconduct', 'wrongful conduct', 'actus reus', 'activity', 'human action', 'human activity', 'deed', 'act', 'event', 'abstraction', 'abstract entity', 'entity']",action,[],[],manipulatio,manipul,manip,manipulation,,,,,,[]
klimamantra,mantra,"['mantren', 'mantra', 'mantras']",mantra,n,"['klimamantren', 'klimamantra', 'klimamantras']","['Losung', 'Maxime', 'Leitsatz', 'monotone Rezitation', 'Parole', 'Passphrase', 'Devise', 'Sinnspruch', 'Slogan', 'Japa', 'Motto', 'Spruchformel', 'Mantra', 'Heilsversprechen', 'Wahlspruch', 'Leitspruch', 'Wortfolge']","['Werbespruch', 'Werbeslogan']","['ein Lieblingsspruch einer Gruppe, Organisation oder Einzelperson', 'die Reihenfolge der Wörter in einem Text', '(Sanskrit) wörtlich eine ""heilige Äußerung"" im Vedismus; eine Sammlung von mündlich überlieferten poetischen Hymnen', 'ein häufig wiederholtes Wort oder eine häufig wiederholte Phrase']","['Werbespruch', 'Werbeslogan', 'Werbespruch', 'Werbeslogan']","['expression', 'saying', 'locution', 'spoken language', 'spoken communication', 'speech', 'oral communication', 'speech communication', 'voice communication', 'language', 'auditory communication', 'communication', 'abstraction', 'abstract entity', 'entity']",action,[],[],mantra,mantra,mantr,mantra,,,,,,[]
klimamilliardär,milliardär,"['milliardären', 'milliardäre', 'milliardär', 'milliardärs']",milliardär,m,"['klimamilliardären', 'klimamilliardäre', 'klimamilliardär', 'klimamilliardärs']","['reicher Mann', 'Geldaristokrat', 'Finanzgröße', 'Milliardär', 'Schwerreicher', 'Finanzkapitalist', 'Geldsack', 'Superreicher', 'Rockefeller', 'Finanzmagnat', 'Millionär', 'Reicher', 'Nabob', 'Pfeffersack', 'Krösus']","['Blaublüter', 'Aristo', 'Fauth', 'Vogt', 'Adelsherrscher', 'Aristokrat', 'Voigt']",['ein Beutel mit Kordel zum Aufbewahren von Geld'],"['jemand', 'irgendjemand', 'jeder beliebige', 'Herrscher', 'Monarch', 'Regent', 'Souverän', 'Gebieter', 'Machthaber', 'Herr', 'Potentat', 'Vogt', 'Voigt', 'Fauth']","['drawstring bag', 'bag', 'container', 'instrumentality', 'instrumentation', 'means', 'artifact', 'artefact', 'unit', 'whole', 'physical object', 'object', 'physical entity', 'entity']",person,[],['macher'],milliardar,milliardär,milliardär,milliardar,,,,,,['macher']
klimamisere,misere,"['miseren', 'misere']",misere,f,"['klimamiseren', 'klimamisere']","['Zwangslage', 'Missstand', 'Zwickmühle', 'dummer Zufall', 'Dilemma', 'Wahl zwischen Pest und Cholera', 'missliche Lage', 'katastrophale Situation', 'verzwickte Situation', 'Schlamassel', 'Krise', 'Malaise', 'Ungemach', 'schlimmer Zustand', 'Problemsituation', 'Kalamität', 'zwischen Szylla und Charybdis', 'kritische Situation', 'Unbill', 'Misere', 'Verhängnis', 'schwierige Situation', 'Unglück', 'Krisis', 'Pech', 'Tragik']",[],"['eine Situation, aus der es schwierig ist, sich zu befreien, insbesondere eine unangenehme oder schwierige Situation', 'unnötige und unvorhergesehene Schwierigkeiten infolge eines unglücklichen Ereignisses', 'das völlige Missmanagement oder die falsche Handhabung einer Situation', None]",[],"['difficultness', 'difficulty', 'quality', 'attribute', 'abstraction', 'abstract entity', 'entity']",action,[],[],miser,miser,mis,mis,,,,,,[]
klimamonster,monster,"['monstern', 'monsters', 'monster']",monster,n,"['klimamonstern', 'klimamonsters', 'klimamonster']","['Untier', 'Biest', 'Scheusal', 'Monster', 'Bluthund', 'Ungetüm', 'Satan', 'Bestie', 'Ungeheuer', 'Kreatur', 'Bestie in Menschengestalt', 'Teufel', 'Monstrum', 'Missgeburt', 'Unmensch', 'Chimäre', 'Schimäre']","['Wes', 'Wesen', 'Wessen', 'Organismus']","['eine grausam raubgierige Person', 'eine Person, die eine Verpackung öffnet oder auswickelt', 'eine grausame, bösartige und unmenschliche Person']","['Wesen', 'Organismus', 'Wessen', 'Wes']","['assailant', 'attacker', 'aggressor', 'assaulter', 'offender', 'wrongdoer', 'bad person', 'soul', 'person', 'someone', 'mortal', 'individual', 'somebody', 'being', 'organism', 'animate thing', 'living thing', 'unit', 'whole', 'physical object', 'object', 'physical entity', 'entity', 'assailant', 'attacker', 'aggressor', 'assaulter', 'offender', 'wrongdoer', 'bad person', 'soul', 'person', 'someone', 'mortal', 'individual', 'somebody', 'being', 'organism', 'cause', 'causal agent', 'causal agency', 'physical entity', 'entity']",person,['teufel'],['teufel'],mon,monster,monst,monst,,,,,,['teufel']
klimamutti,mutti,"['mutti', 'muttis']",mutti,f,"['klimamutti', 'klimamuttis']","['Evastochter', 'Mutter', 'Weib', 'Frau', 'Frauensperson', 'Weibsstück', 'weibliche Person', 'Sie', 'Madame Non', 'Dame', 'Braut', 'Gebärerin', 'Frauenzimmer', 'Grazie', 'Mam', 'Kohls Mädchen', 'Angie', 'Weibsen', 'Weibsperson', 'Perle', 'deine arme alte Mutter', 'Ma', 'Mama', 'Alte', 'weibliches Wesen', 'Vertreterin des schönen Geschlechts', 'Mädchen', 'Tante', 'Lebensspenderin', 'Angela Merkel', 'Muddern', 'Schnalle', 'Mutti', 'Person weiblichen Geschlechts', 'alte Dame', 'Lady', 'weiblicher Mensch', 'Weibsbild', 'Mami', 'Eva']","['Mensch', 'Schraubenmutter', 'Mutter', 'Typ', 'Erziehungsberechtigte', 'Persönlichkeit', 'Person', 'Eltern', 'Charakter', 'Subjekt', 'die Alten', 'Individuum', 'Einzelwesen']","['eine Frau, die ein Kind geboren hat', 'Eine weibliche Person.', 'eine junge Frau']","['die Alten', 'Eltern', 'Erziehungsberechtigte', 'Typ', 'Person', 'Mensch', 'Charakter', 'Subjekt', 'Persönlichkeit', 'Individuum', 'Einzelwesen', 'Erscheinung', 'Phantom', 'Artefakt', 'Hirngespinst', 'Einbildung', 'Phantasmagorie', 'Sinnestäuschung', 'Schimäre', 'Trugbild', 'Chimäre']","['parent', 'genitor', 'progenitor', 'primogenitor', 'antecedent', 'ascendant', 'root', 'ascendent', 'ancestor', 'relation', 'relative', 'soul', 'person', 'someone', 'mortal', 'individual', 'somebody', 'being', 'organism', 'animate thing', 'living thing', 'unit', 'whole', 'physical object', 'object', 'physical entity', 'entity', 'parent', 'genitor', 'progenitor', 'primogenitor', 'antecedent', 'ascendant', 'root', 'ascendent', 'ancestor', 'relation', 'relative', 'soul', 'person', 'someone', 'mortal', 'individual', 'somebody', 'being', 'organism', 'cause', 'causal agent', 'causal agency', 'physical entity', 'entity']",person,[],[],mutti,mutti,mutt,mutti,,,,,,[]
klimamärchenonkel,märchenonkel,"['märchenonkel', 'märchenonkels', 'märchenonkeln']",märchenonkel,m,"['klimamärchenonkel', 'klimamärchenonkels', 'klimamärchenonkeln']","['Märchenonkel', 'Märchenerzähler']","['Vatersbruder', 'Onkel mütterlicherseits', 'Oheim', 'Muttersbruder', 'Onkel', 'Ohm', 'Mutterbruder', 'narrative Instanz', 'Erzähler', 'Onkel väterlicherseits']",[None],"['Erzähler', 'narrative Instanz', 'Oheim', 'Onkel väterlicherseits', 'Muttersbruder', 'Onkel', 'Onkel mütterlicherseits', 'Mutterbruder', 'Ohm', 'Vatersbruder']",[],,[],[],marchenonkel,märchenonkel,märchenonkel,marchenonkel,,,,,,[]
